frame,latency_ms,sl_px,sl_y,sl_wait,tl_state,tl_near,tl_red_far,brake_level,tl_brake_req,cmd_speed,cmd_steer
1343,106.91952705383301,-1.0,-1.0,False,UNKNOWN,0.0,False,0,0,,
1344,113.82699012756348,-1.0,-1.0,False,UNKNOWN,0.0,False,0,0,,
1345,114.62283134460449,-1.0,-1.0,False,UNKNOWN,0.0,False,0,0,,
1346,110.09383201599121,-1.0,-1.0,False,UNKNOWN,0.0,False,0,0,,
1347,111.27614974975586,-1.0,-1.0,False,UNKNOWN,0.0,False,0,0,,
1348,112.53070831298828,-1.0,-1.0,False,UNKNOWN,0.0,False,0,0,,
1349,111.95492744445801,-1.0,-1.0,False,UNKNOWN,0.0,False,0,0,,
1350,110.93473434448242,-1.0,-1.0,False,UNKNOWN,0.0,False,0,0,,
1351,109.52448844909668,-1.0,-1.0,False,UNKNOWN,0.0,False,0,0,,
1352,112.31374740600586,-1.0,-1.0,False,UNKNOWN,0.0,False,0,0,,
1353,111.73224449157715,-1.0,-1.0,False,UNKNOWN,0.0,False,0,0,,
1354,114.46928977966309,-1.0,-1.0,False,UNKNOWN,0.0,False,0,0,,
1355,103.14536094665527,-1.0,-1.0,False,UNKNOWN,0.0,False,0,0,,
1356,112.44010925292969,-1.0,-1.0,False,UNKNOWN,0.0,False,0,0,,
1357,112.02383041381836,-1.0,-1.0,False,UNKNOWN,0.0,False,0,0,,
1358,112.36572265625,-1.0,-1.0,False,RED,76.0,False,0,0,,
1359,109.24267768859863,-1.0,-1.0,False,RED,,,0,0,,
1360,114.69173431396484,81.8878173828125,0.7666666507720947,False,RED,77.0,False,0,0,,
1361,109.81631278991699,78.7950439453125,0.7722222208976746,True,RED,77.0,False,0,0,,
1362,112.8396987915039,58.14550018310547,0.8138889074325562,True,RED,77.0,False,0,0,,
1363,111.71483993530273,63.250553131103516,0.8027777671813965,True,RED,78.0,False,0,0,,
1364,112.02359199523926,63.250553131103516,0.8027777671813965,True,RED,79.0,False,0,0,,
1365,111.39965057373047,63.250553131103516,0.8027777671813965,True,RED,81.0,False,0,0,,
1366,113.03329467773438,56.910179138183594,0.8166666626930237,True,RED,82.0,False,0,0,,
1367,113.02661895751953,55.690608978271484,0.8194444179534912,True,RED,80.0,False,0,0,,
1368,113.3730411529541,53.297523498535156,0.824999988079071,True,RED,83.0,False,0,0,,
1369,113.02542686462402,61.94907760620117,0.8055555820465088,True,RED,83.0,False,0,0,,
1370,111.65213584899902,48.687679290771484,0.8361111283302307,True,RED,82.0,False,0,0,,
1371,114.60471153259277,48.687679290771484,0.8361111283302307,True,RED,81.0,False,0,0,,
1372,112.92529106140137,40.1154899597168,0.8583333492279053,True,RED,81.0,False,0,0,,
1373,112.69330978393555,54.486488342285156,0.8222222328186035,True,RED,79.0,False,0,0,,
1374,113.24119567871094,39.10007858276367,0.8611111044883728,True,RED,83.0,False,0,0,,
1375,112.63775825500488,39.10007858276367,0.8611111044883728,True,RED,84.0,False,0,0,,
1376,111.70101165771484,37.10429382324219,0.8666666746139526,True,RED,82.0,False,0,0,,
1377,114.9754524230957,38.096412658691406,0.8638888597488403,True,RED,84.0,False,0,0,,
1378,114.40253257751465,36.1235237121582,0.8694444298744202,True,RED,84.0,False,0,0,,
1379,114.4411563873291,27.776649475097656,0.894444465637207,False,RED,84.0,False,1,1,,
1380,113.2364273071289,25.17302894592285,0.9027777910232544,False,RED,84.0,False,1,1,,
1381,111.43851280212402,26.89938735961914,0.8972222208976746,False,RED,84.0,False,1,1,,
1382,114.87221717834473,21.01459312438965,0.9166666865348816,False,RED,84.0,False,1,1,,
1383,111.12284660339355,22.65168571472168,0.9111111164093018,False,RED,84.0,False,1,1,,
1384,111.32979393005371,20.20878028869629,0.9194444417953491,False,RED,83.0,False,1,1,,
1385,109.34090614318848,14.793862342834473,0.9388889074325562,False,RED,84.0,False,1,1,,
1386,112.65921592712402,11.866579055786133,0.949999988079071,False,RED,83.0,False,1,1,,
1387,111.00053787231445,12.587577819824219,0.9472222328186035,False,RED,84.0,False,1,1,,
1388,112.45059967041016,19.411279678344727,0.9222221970558167,False,RED,82.0,False,1,1,,
1389,112.20216751098633,18.621963500976562,0.925000011920929,False,RED,83.0,False,1,1,,
