frame,latency_ms,fit_aL,fit_bL,fit_cL,fit_aR,fit_bR,fit_cR,conf,half_width_px,stamp_sec,stamp_nsec,cte_rear_m,cte_near_m,theta_deg,curvature,conf_eff,lane_width_m,flags,d_near_m,conf_raw,seq,tl_state,stop_line_dist,crosswalk_dist,judgment_state,brake_level,cmd_speed,cmd_steer
785,38.639068603515625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.0,,,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.7803999781608582,0.0,6.0,UNKNOWN,-1.0,-1.0,PASS,,2.0,0.0
786,41.89038276672363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.0,,,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.7803999781608582,0.0,7.0,UNKNOWN,-1.0,-1.0,PASS,,2.0,0.0
787,58.277130126953125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.0,,,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.7803999781608582,0.0,8.0,UNKNOWN,-1.0,-1.0,PASS,,2.0,0.0
788,47.49178886413574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.0,,,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.7803999781608582,0.0,9.0,UNKNOWN,-1.0,-1.0,PASS,,2.0,0.0
789,41.79096221923828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.0,,,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.7803999781608582,0.0,10.0,UNKNOWN,-1.0,-1.0,PASS,,2.0,0.0
790,37.94074058532715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.0,,,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.7803999781608582,0.0,11.0,UNKNOWN,-1.0,-1.0,PASS,,2.0,0.0
791,40.167808532714844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.0,,,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.7803999781608582,0.0,12.0,UNKNOWN,-1.0,-1.0,PASS,,2.0,0.0
792,34.651994705200195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.0,,,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.7803999781608582,0.0,13.0,UNKNOWN,-1.0,-1.0,PASS,,2.0,0.0
793,38.70868682861328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.0,,,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.7803999781608582,0.0,14.0,UNKNOWN,-1.0,-1.0,PASS,,2.0,0.0
794,35.48431396484375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.0,,,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.7803999781608582,0.0,15.0,UNKNOWN,-1.0,-1.0,PASS,,2.0,0.0
