frame,latency_ms,sl_px,sl_y,sl_wait,tl_state,tl_near,tl_red_far,brake_level,tl_brake_req,cmd_speed,cmd_steer
1345,128.082275390625,-1.0,-1.0,False,RED,77.0,False,2,2,0.0,0.0
1346,98.03318977355957,-1.0,-1.0,False,RED,78.0,False,2,2,0.0,0.0
1347,94.88916397094727,-1.0,-1.0,False,RED,73.0,False,2,2,0.0,0.0
1348,88.33503723144531,-1.0,-1.0,False,RED,81.0,False,2,2,0.0,0.0
1349,90.95120429992676,-1.0,-1.0,False,RED,76.0,False,2,2,0.0,0.0
1350,93.32108497619629,-1.0,-1.0,False,RED,76.0,False,2,2,0.0,0.0
1351,98.87170791625977,-1.0,-1.0,False,RED,78.0,False,2,2,0.0,0.0
1352,95.52812576293945,-1.0,-1.0,False,RED,76.0,False,2,2,0.0,0.0
1353,93.95337104797363,-1.0,-1.0,False,RED,80.0,False,2,2,0.0,0.0
1354,97.43022918701172,-1.0,-1.0,False,RED,77.0,False,2,2,0.0,0.0
1355,94.59185600280762,-1.0,-1.0,False,RED,76.0,False,2,2,0.0,0.0
1356,89.7209644317627,-1.0,-1.0,False,RED,77.0,False,2,2,0.0,0.0
1357,94.53415870666504,-1.0,-1.0,False,RED,79.0,False,2,2,0.0,0.0
1358,117.35296249389648,-1.0,-1.0,False,RED,77.0,False,2,2,0.0,0.0
1359,85.14547348022461,-1.0,-1.0,False,RED,76.0,False,2,2,0.0,0.0
1360,87.54348754882812,-1.0,-1.0,False,RED,78.0,False,2,2,0.0,0.0
1361,76.52831077575684,-1.0,-1.0,False,RED,79.0,False,2,2,0.0,0.0
1362,79.3452262878418,-1.0,-1.0,False,RED,78.0,False,2,2,0.0,0.0
1363,70.32179832458496,-1.0,-1.0,False,RED,78.0,False,2,2,0.0,0.0
1364,71.51484489440918,-1.0,-1.0,False,RED,81.0,False,2,2,0.0,0.0
1365,71.82574272155762,-1.0,-1.0,False,RED,79.0,False,2,2,0.0,0.0
1366,74.33819770812988,-1.0,-1.0,False,RED,80.0,False,2,2,0.0,0.0
1367,70.08004188537598,-1.0,-1.0,False,RED,80.0,False,2,2,0.0,0.0
