frame,latency_ms,vote_d,vote_psi,vote_kappa,vote_width,conf,vote_sep,vote_mag,vote_bal,left_ok,right_ok,vote_mode,solve_ms,cte_rear_m,cte_near_m,theta_deg,curvature,conf_eff,lane_width_m,flags,d_near_m,conf_raw,seq,stop_line_dist,crosswalk_dist,judgment_state,cmd_speed,cmd_steer
5,54.14843559265137,-0.030869299545884132,-0.05633445456624031,0.0,3.4800000190734863,0.96951824426651,0.999999463558197,0.9861581325531006,0.9662535786628723,1.0,1.0,1.0,0.8796859979629517,-0.030869299545884132,-0.07887685298919678,-3.227726459503174,0.0,0.96951824426651,3.4800000190734863,0.0,0.8512864112854004,0.96951824426651,6.0,-1.0,-1.0,PASS,2.0,0.0
6,56.80131912231445,-0.03020520694553852,-0.05398355424404144,0.0,3.4800000190734863,0.9709782004356384,0.999999463558197,0.9877171516418457,0.9661062955856323,1.0,1.0,1.0,0.8872399926185608,-0.03020520694553852,-0.07620536535978317,-3.093029737472534,0.0,0.9709782004356384,3.4800000190734863,0.0,0.8512864112854004,0.9709782004356384,7.0,-1.0,-1.0,PASS,2.0,0.0
7,70.56522369384766,-0.03139622509479523,-0.05635688826441765,0.0,3.4800000190734863,0.9651800394058228,0.999999463558197,0.9870169162750244,0.9557523131370544,1.0,1.0,1.0,0.8661400079727173,-0.03139622509479523,-0.07942293584346771,-3.2290117740631104,0.0,0.9651800394058228,3.4800000190734863,0.0,0.8512864112854004,0.9651800394058228,8.0,-1.0,-1.0,PASS,2.0,0.0
8,43.935537338256836,-0.019101183861494064,-0.058731675148010254,0.0,3.4800000190734863,0.9676126837730408,0.999999463558197,0.9863356351852417,0.9620358943939209,1.0,1.0,1.0,0.7565460205078125,-0.019101183861494064,-0.0691562294960022,-3.365077018737793,0.0,0.9676126837730408,3.4800000190734863,0.0,0.8512864112854004,0.9676126837730408,9.0,-1.0,-1.0,PASS,2.0,0.0
9,46.442270278930664,-0.029479175806045532,-0.055688586086034775,0.0,3.4800000190734863,0.9707853198051453,0.999999463558197,0.988219141960144,0.9647170901298523,1.0,1.0,1.0,0.8153349757194519,-0.029479175806045532,-0.07693517953157425,-3.190721035003662,0.0,0.9707853198051453,3.4800000190734863,0.0,0.8512864112854004,0.9707853198051453,10.0,-1.0,-1.0,PASS,2.0,0.0
10,46.15354537963867,-0.01742546074092388,-0.056948222219944,0.0,3.4800000190734863,0.9668508172035217,0.999999463558197,0.9869586825370789,0.9592534303665161,1.0,1.0,1.0,0.7483609914779663,-0.01742546074092388,-0.06595718115568161,-3.262892723083496,0.0,0.9668508172035217,3.4800000190734863,0.0,0.8512864112854004,0.9668508172035217,11.0,-1.0,-1.0,PASS,2.0,0.0
11,25.3450870513916,-0.018301699310541153,-0.05721553415060043,0.0,3.4800000190734863,0.9667213559150696,0.999999463558197,0.9861783981323242,0.9605410099029541,1.0,1.0,1.0,0.7589499950408936,-0.018301699310541153,-0.06706172227859497,-3.2782087326049805,0.0,0.9667213559150696,3.4800000190734863,0.0,0.8512864112854004,0.9667213559150696,12.0,-1.0,-1.0,PASS,2.0,0.0
12,34.97004508972168,-0.01986934430897236,-0.05688280984759331,0.0,3.4800000190734863,0.9686013460159302,0.999999463558197,0.9866217374801636,0.9634710550308228,1.0,1.0,1.0,0.7772849798202515,-0.01986934430897236,-0.06834520399570465,-3.2591450214385986,0.0,0.9686013460159302,3.4800000190734863,0.0,0.8512864112854004,0.9686013460159302,13.0,-1.0,-1.0,PASS,2.0,0.0
13,27.11772918701172,-0.018674250692129135,-0.05795827880501747,0.0,3.4800000190734863,0.9667587876319885,0.999999463558197,0.9859535098075867,0.9610641598701477,1.0,1.0,1.0,0.7641900181770325,-0.018674250692129135,-0.06806866824626923,-3.3207647800445557,0.0,0.9667587876319885,3.4800000190734863,0.0,0.8512864112854004,0.9667587876319885,14.0,-1.0,-1.0,PASS,2.0,0.0
14,25.25496482849121,-0.030102485790848732,-0.05615748092532158,0.0,3.4800000190734863,0.9698036313056946,0.999999463558197,0.9864272475242615,0.9662957787513733,1.0,1.0,1.0,0.7560949921607971,-0.030102485790848732,-0.07795890420675278,-3.2175867557525635,0.0,0.9698036313056946,3.4800000190734863,0.0,0.8512864112854004,0.9698036313056946,15.0,-1.0,-1.0,PASS,2.0,0.0
15,27.415752410888672,-0.02874009869992733,-0.05617804452776909,0.0,3.4800000190734863,0.9675360918045044,0.999999463558197,0.9855943322181702,0.9633561372756958,1.0,1.0,0.0,1.7267400026321411,-0.02874009869992733,-0.07661407440900803,-3.2187647819519043,0.0,0.9675360918045044,3.4800000190734863,0.0,0.8512864112854004,0.9675360918045044,16.0,-1.0,-1.0,PASS,2.0,0.0
16,25.351524353027344,-0.029055064544081688,-0.055918287485837936,0.0,3.4800000190734863,0.9688911437988281,0.999999463558197,0.9864624738693237,0.9643754959106445,1.0,1.0,1.0,0.7630379796028137,-0.029055064544081688,-0.07670722156763077,-3.2038819789886475,0.0,0.9688911437988281,3.4800000190734863,0.0,0.8512864112854004,0.9688911437988281,17.0,-1.0,-1.0,PASS,2.0,0.0
17,24.714946746826172,-0.029478343203663826,-0.05623135715723038,0.0,3.4800000190734863,0.9699576497077942,0.999999463558197,0.9872588515281677,0.9649515748023987,1.0,1.0,1.0,0.7703719735145569,-0.029478343203663826,-0.07739785313606262,-3.2218194007873535,0.0,0.9699576497077942,3.4800000190734863,0.0,0.8512864112854004,0.9699576497077942,18.0,-1.0,-1.0,PASS,2.0,0.0
18,27.509450912475586,-0.02960461750626564,-0.056628283113241196,0.0,3.4800000190734863,0.9697325229644775,0.999999463558197,0.9868901371955872,0.9652293920516968,1.0,1.0,1.0,2.2437899112701416,-0.02960461750626564,-0.07786309719085693,-3.2445616722106934,0.0,0.9697325229644775,3.4800000190734863,0.0,0.8512864112854004,0.9697325229644775,19.0,-1.0,-1.0,PASS,2.0,0.0
19,25.20895004272461,-0.01880280300974846,-0.05765967816114426,0.0,3.4800000190734863,0.9659801721572876,0.999999463558197,0.9851438999176025,0.9610951542854309,1.0,1.0,1.0,0.7958890199661255,-0.01880280300974846,-0.06794217228889465,-3.3036561012268066,0.0,0.9659801721572876,3.4800000190734863,0.0,0.8512864112854004,0.9659801721572876,20.0,-1.0,-1.0,PASS,2.0,0.0
20,24.703264236450195,-0.0194107498973608,-0.05739041045308113,0.0,3.4800000190734863,0.9666224122047424,0.999999463558197,0.9849765300750732,0.9627323746681213,1.0,1.0,1.0,0.7470790147781372,-0.0194107498973608,-0.068320132791996,-3.2882282733917236,0.0,0.9666224122047424,3.4800000190734863,0.0,0.8512864112854004,0.9666224122047424,21.0,-1.0,-1.0,PASS,2.0,0.0
21,25.59971809387207,-0.029162868857383728,-0.056068893522024155,0.0,3.4800000190734863,0.9664346575737,0.999999463558197,0.9839000701904297,0.9644981622695923,1.0,1.0,1.0,0.7364180088043213,-0.029162868857383728,-0.07694363594055176,-3.2125110626220703,0.0,0.9664346575737,3.4800000190734863,0.0,0.8512864112854004,0.9664346575737,22.0,-1.0,-1.0,PASS,2.0,0.0
22,24.79243278503418,-0.01922752894461155,-0.0572616383433342,0.0,3.4800000190734863,0.9668380618095398,0.999999463558197,0.9853594303131104,0.9624073505401611,1.0,1.0,1.0,1.0059200525283813,-0.01922752894461155,-0.06802693009376526,-3.2808501720428467,0.0,0.9668380618095398,3.4800000190734863,0.0,0.8512864112854004,0.9668380618095398,23.0,-1.0,-1.0,PASS,2.0,0.0
23,24.67203140258789,-0.0289421696215868,-0.05493497848510742,0.0,3.4800000190734863,0.9694111347198486,0.999999463558197,0.9870789647102356,0.964202344417572,1.0,1.0,1.0,0.766323983669281,-0.0289421696215868,-0.07575467228889465,-3.1475424766540527,0.0,0.9694111347198486,3.4800000190734863,0.0,0.8512864112854004,0.9694111347198486,24.0,-1.0,-1.0,PASS,2.0,0.0
24,27.81081199645996,-0.030040614306926727,-0.05585241690278053,0.0,3.4800000190734863,0.966730535030365,0.999999463558197,0.9827780723571777,0.9673430323600769,1.0,1.0,1.0,0.7455350160598755,-0.030040614306926727,-0.07763651758432388,-3.2001078128814697,0.0,0.966730535030365,3.4800000190734863,0.0,0.8512864112854004,0.966730535030365,25.0,-1.0,-1.0,PASS,2.0,0.0
25,30.11322021484375,-0.030664697289466858,-0.05527343228459358,0.0,3.4800000190734863,0.9682173132896423,0.999999463558197,0.9836105108261108,0.9687010645866394,1.0,1.0,1.0,0.7490220069885254,-0.030664697289466858,-0.07776619493961334,-3.1669344902038574,0.0,0.9682173132896423,3.4800000190734863,0.0,0.8512864112854004,0.9682173132896423,26.0,-1.0,-1.0,PASS,2.0,0.0
26,31.82816505432129,-0.018446188420057297,-0.056761566549539566,0.0,3.4800000190734863,0.9649158120155334,0.999999463558197,0.9842151403427124,0.9607827067375183,1.0,1.0,1.0,0.7941759824752808,-0.018446188420057297,-0.06681849807500839,-3.2521982192993164,0.0,0.9649158120155334,3.4800000190734863,0.0,0.8512864112854004,0.9649158120155334,27.0,-1.0,-1.0,PASS,2.0,0.0
27,33.58888626098633,-0.029172489419579506,-0.05659060925245285,0.0,3.4800000190734863,0.9659419655799866,0.999999463558197,0.983364999294281,0.9645650386810303,1.0,1.0,1.0,0.725479006767273,-0.029172489419579506,-0.07739879935979843,-3.242403030395508,0.0,0.9659419655799866,3.4800000190734863,0.0,0.8512864112854004,0.9659419655799866,28.0,-1.0,-1.0,PASS,2.0,0.0
