frame,latency_ms,vote_d,vote_psi,vote_kappa,vote_width,conf,vote_sep,vote_mag,vote_bal,left_ok,right_ok,vote_mode,solve_ms,cte_rear_m,cte_near_m,theta_deg,curvature,conf_eff,lane_width_m,flags,d_near_m,conf_raw,seq,stop_line_dist,crosswalk_dist,judgment_state,cmd_speed,cmd_steer
16,26.928424835205078,-0.10179771482944489,-0.011018765158951283,0.0,3.4800000190734863,0.5084959864616394,0.9999992847442627,0.68135666847229,0.4925990402698517,1.0,1.0,1.0,0.7335000038146973,-0.10179771482944489,-0.11117821931838989,-0.6313287615776062,0.0,0.5084959864616394,3.4800000190734863,0.0,0.8512864112854004,0.5084959864616394,17.0,1.978600263595581,-1.0,PASS,2.0,0.0
17,24.860382080078125,-0.10158500075340271,-0.011383253149688244,0.0,3.4800000190734863,0.5090767741203308,0.9999992847442627,0.6825368404388428,0.4917199909687042,1.0,1.0,1.0,0.7629950046539307,-0.10158500075340271,-0.11127582937479019,-0.652212381362915,0.0,0.5090767741203308,3.4800000190734863,0.0,0.8512864112854004,0.5090767741203308,18.0,1.9783965349197388,-1.0,PASS,2.0,0.0
18,25.0546932220459,-0.10076625645160675,-0.011743757873773575,0.0,3.4800000190734863,0.5084345936775208,0.9999992847442627,0.6807920336723328,0.49365663528442383,1.0,1.0,1.0,0.7566530108451843,-0.10076625645160675,-0.1107640191912651,-0.6728677749633789,0.0,0.5084345936775208,3.4800000190734863,0.0,0.8512864112854004,0.5084345936775208,19.0,1.9781928062438965,-1.0,PASS,2.0,0.0
19,26.288747787475586,-0.10135671496391296,-0.011562127619981766,0.0,3.4800000190734863,0.5095853209495544,0.9999992847442627,0.683874785900116,0.49028879404067993,1.0,1.0,1.0,0.7468550205230713,-0.10135671496391296,-0.11119983345270157,-0.6624611020088196,0.0,0.5095853209495544,3.4800000190734863,0.0,0.8512864112854004,0.5095853209495544,20.0,1.9783965349197388,-1.0,PASS,2.0,0.0
20,25.102853775024414,-0.10099857300519943,-0.0118921073153615,0.0,3.4800000190734863,0.5083212852478027,0.9999992847442627,0.6805834174156189,0.49378153681755066,1.0,1.0,1.0,0.7282199859619141,-0.10099857300519943,-0.11112263798713684,-0.6813675761222839,0.0,0.5083212852478027,3.4800000190734863,0.0,0.8512864112854004,0.5083212852478027,21.0,1.9781928062438965,-1.0,PASS,2.0,0.0
21,27.107715606689453,-0.10149680823087692,-0.011607742868363857,0.0,3.4800000190734863,0.5088925361633301,0.9999992847442627,0.6820020079612732,0.49234962463378906,1.0,1.0,1.0,0.7448819875717163,-0.10149680823087692,-0.11137876659631729,-0.6650746464729309,0.0,0.5088925361633301,3.4800000190734863,0.0,0.8512864112854004,0.5088925361633301,22.0,1.9781928062438965,-1.0,PASS,2.0,0.0
22,29.941320419311523,-0.10064896941184998,-0.010638889856636524,0.0,3.4800000190734863,0.5098335146903992,0.9999992847442627,0.68458092212677,0.4894768297672272,1.0,1.0,1.0,0.7302640080451965,-0.10064896941184998,-0.10970605164766312,-0.6095634698867798,0.0,0.5098335146903992,3.4800000190734863,0.0,0.8512864112854004,0.5098335146903992,23.0,1.9781928062438965,-1.0,PASS,2.0,0.0
23,31.332015991210938,-0.1007920503616333,-0.010207251645624638,0.0,3.4800000190734863,0.5105929970741272,0.9999992847442627,0.6864675283432007,0.48759615421295166,1.0,1.0,1.0,0.7698180079460144,-0.1007920503616333,-0.10948164761066437,-0.5848324298858643,0.0,0.5105929970741272,3.4800000190734863,0.0,0.8512864112854004,0.5105929970741272,24.0,1.9781928062438965,-1.0,PASS,2.0,0.0
24,32.47690200805664,-0.08314510434865952,-0.013592328876256943,0.0,3.4800000190734863,0.5086677670478821,0.9999992847442627,0.6814218163490295,0.4929605722427368,1.0,1.0,1.0,0.7416149973869324,-0.08314510434865952,-0.09471677988767624,-0.7787830829620361,0.0,0.5086677670478821,3.4800000190734863,0.0,0.8512864112854004,0.5086677670478821,25.0,1.9485679864883423,-1.0,PASS,2.0,0.0
25,35.19153594970703,-0.0814623162150383,-0.015016976743936539,0.0,3.4800000190734863,0.5071712136268616,0.9999992251396179,0.6774572730064392,0.49727940559387207,1.0,1.0,1.0,0.7435089945793152,-0.0814623162150383,-0.09424702823162079,-0.8604093790054321,0.0,0.5071712136268616,3.4800000190734863,0.0,0.8512864112854004,0.5071712136268616,26.0,1.9781928062438965,-1.0,PASS,2.0,0.0
26,34.847259521484375,-0.1008898913860321,-0.012802510522305965,0.0,3.4800000190734863,0.5089737176895142,0.9999992847442627,0.6823634505271912,0.49179714918136597,1.0,1.0,1.0,0.7550809979438782,-0.1008898913860321,-0.11178909242153168,-0.733529806137085,0.0,0.5089737176895142,3.4800000190734863,0.0,0.8512864112854004,0.5089737176895142,27.0,1.9783965349197388,-1.0,PASS,2.0,0.0
27,36.19813919067383,-0.10071408748626709,-0.012396538630127907,0.0,3.4800000190734863,0.5086401700973511,0.9999992847442627,0.6814825534820557,0.4927465319633484,1.0,1.0,1.0,0.7405340075492859,-0.10071408748626709,-0.11126763373613358,-0.7102693319320679,0.0,0.5086401700973511,3.4800000190734863,0.0,0.8512864112854004,0.5086401700973511,28.0,1.9783965349197388,-1.0,PASS,2.0,0.0
28,39.17193412780762,-0.10095089673995972,-0.01189716998487711,0.0,3.4800000190734863,0.5090042352676392,0.9999992847442627,0.6824540495872498,0.4916885495185852,1.0,1.0,1.0,0.7533270120620728,-0.10095089673995972,-0.11107927560806274,-0.681657612323761,0.0,0.5090042352676392,3.4800000190734863,0.0,0.8512864112854004,0.5090042352676392,29.0,1.9783965349197388,-1.0,PASS,2.0,0.0
29,40.91310501098633,-0.10143953561782837,-0.010070586577057838,0.0,3.4800000190734863,0.5113223195075989,0.9999992847442627,0.6884875893592834,0.48534998297691345,1.0,1.0,1.0,0.7330790162086487,-0.10143953561782837,-0.11001277714967728,-0.5770021080970764,0.0,0.5113223195075989,3.4800000190734863,0.0,0.8512864112854004,0.5113223195075989,30.0,1.9783965349197388,-1.0,PASS,2.0,0.0
30,42.57082939147949,-0.10191328823566437,-0.011374315246939659,0.0,3.4800000190734863,0.5092912316322327,0.9999992847442627,0.6832656264305115,0.4907567501068115,1.0,1.0,0.0,1.8361949920654297,-0.10191328823566437,-0.1115965023636818,-0.6517002582550049,0.0,0.5092912316322327,3.4800000190734863,0.0,0.8512864112854004,0.5092912316322327,31.0,1.9781928062438965,-1.0,PASS,2.0,0.0
31,44.553518295288086,-0.1004531979560852,-0.01049757655709982,0.0,3.4800000190734863,0.5099729299545288,0.9999992847442627,0.6848484873771667,0.48930200934410095,1.0,1.0,1.0,0.7353839874267578,-0.1004531979560852,-0.10938996821641922,-0.6014668345451355,0.0,0.5099729299545288,3.4800000190734863,0.0,0.8512864112854004,0.5099729299545288,32.0,1.9783965349197388,-1.0,PASS,2.0,0.0
32,44.11482810974121,-0.10055660456418991,-0.011859554797410965,0.0,3.4800000190734863,0.5086628794670105,0.9999992847442627,0.6814160346984863,0.49295902252197266,1.0,1.0,1.0,0.736395001411438,-0.10055660456418991,-0.11065295338630676,-0.6795024275779724,0.0,0.5086628794670105,3.4800000190734863,0.0,0.8512864112854004,0.5086628794670105,33.0,1.9783965349197388,-1.0,PASS,2.0,0.0
33,24.703025817871094,-0.09973855316638947,-0.012546905316412449,0.0,3.4800000190734863,0.5075026154518127,0.9999992251396179,0.6783332228660583,0.49632298946380615,1.0,1.0,1.0,0.7745770215988159,-0.09973855316638947,-0.1104201227426529,-0.7188847064971924,0.0,0.5075026154518127,3.4800000190734863,0.0,0.8512864112854004,0.5075026154518127,34.0,1.9781928062438965,-1.0,PASS,2.0,0.0
34,25.592803955078125,-0.10112456977367401,-0.01198624912649393,0.0,3.4800000190734863,0.5090512037277222,0.9999992847442627,0.6824294328689575,0.4918799102306366,1.0,1.0,1.0,0.7263069748878479,-0.10112456977367401,-0.11132878810167313,-0.6867614984512329,0.0,0.5090512037277222,3.4800000190734863,0.0,0.8512864112854004,0.5090512037277222,35.0,1.9783965349197388,-1.0,PASS,2.0,0.0
35,34.81912612915039,-0.10027141869068146,-0.010845152661204338,0.0,3.4800000190734863,0.5101656913757324,0.9999992847442627,0.6854655742645264,0.4885236918926239,1.0,1.0,1.0,0.7356240153312683,-0.10027141869068146,-0.10950411111116409,-0.6213814616203308,0.0,0.5101656913757324,3.4800000190734863,0.0,0.8512864112854004,0.5101656913757324,36.0,1.9783965349197388,-1.0,PASS,2.0,0.0
